fecha,cantidad
2015-08-02,0
2015-08-03,0
2015-08-04,0
2015-08-05,0
2015-08-06,0
2015-08-07,0
2015-08-08,0
2015-08-09,0
2015-08-10,0
2015-08-11,0
2015-08-12,0
2015-08-13,0
2015-08-14,0
2015-08-15,0
2015-08-16,0
2015-08-17,0
2015-08-18,0
2015-08-19,0
2015-08-20,0
2015-08-21,0
2015-08-22,0
2015-08-23,0
2015-08-24,0
2015-08-25,0
2015-08-26,0
2015-08-27,0
2015-08-28,0
2015-08-29,0
2015-08-30,0
2015-08-31,0
2015-09-01,0
2015-09-02,0
2015-09-03,0
2015-09-04,0
2015-09-05,0
2015-09-06,0
2015-09-07,0
2015-09-08,0
2015-09-09,1
2015-09-10,0
2015-09-11,0
2015-09-12,1
2015-09-13,1
2015-09-14,0
2015-09-15,0
2015-09-16,0
2015-09-17,0
2015-09-18,0
2015-09-19,0
2015-09-20,0
2015-09-21,0
2015-09-22,0
2015-09-23,0
2015-09-24,0
2015-09-25,0
2015-09-26,0
2015-09-27,0
2015-09-28,0
2015-09-29,0
2015-09-30,0
2015-10-01,0
2015-10-02,0
2015-10-03,0
2015-10-04,3
2015-10-05,1
2015-10-06,1
2015-10-07,0
2015-10-08,2
2015-10-09,0
2015-10-10,1
2015-10-11,2
2015-10-12,0
2015-10-13,0
2015-10-14,0
2015-10-15,0
2015-10-16,0
2015-10-17,2
2015-10-18,0
2015-10-19,0
2015-10-20,0
2015-10-21,2
2015-10-22,0
2015-10-23,1
2015-10-24,0
2015-10-25,0
2015-10-26,3
2015-10-27,2
2015-10-28,2
2015-10-29,2
2015-10-30,5
2015-10-31,4
2015-11-01,0
2015-11-02,2
2015-11-03,2
2015-11-04,0
2015-11-05,2
2015-11-06,11
2015-11-07,1
2015-11-08,3
2015-11-09,0
2015-11-10,0
2015-11-11,0
2015-11-12,2
2015-11-13,1
2015-11-14,0
2015-11-15,5
2015-11-16,3
2015-11-17,6
2015-11-18,2
2015-11-19,3
2015-11-20,0
2015-11-21,2
2015-11-22,0
2015-11-23,0
2015-11-24,1
2015-11-25,0
2015-11-26,0
2015-11-27,0
2015-11-28,2
2015-11-29,0
2015-11-30,0
2015-12-01,0
2015-12-02,0
2015-12-03,6
2015-12-04,10
2015-12-05,3
2015-12-06,4
2015-12-07,19
2015-12-08,4
2015-12-09,2
2015-12-10,0
2015-12-11,6
2015-12-12,9
2015-12-13,0
2015-12-14,0
2015-12-15,0
2015-12-16,0
2015-12-17,0
2015-12-18,2
2015-12-19,0
2015-12-20,0
2015-12-21,0
2015-12-22,0
2015-12-23,0
2015-12-24,0
2015-12-25,2
2015-12-26,0
2015-12-27,0
2015-12-28,0
2015-12-29,0
2015-12-30,2
2015-12-31,7
2016-01-01,0
2016-01-02,0
2016-01-03,0
2016-01-04,6
2016-01-05,10
2016-01-06,7
2016-01-07,2
2016-01-08,5
2016-01-09,18
2016-01-10,2
2016-01-11,2
2016-01-12,13
2016-01-13,8
2016-01-14,2
2016-01-15,5
2016-01-16,6
2016-01-17,11
2016-01-18,2
2016-01-19,0
2016-01-20,0
2016-01-21,7
2016-01-22,8
2016-01-23,1
2016-01-24,3
2016-01-25,3
2016-01-26,7
2016-01-27,0
2016-01-28,0
2016-01-29,0
2016-01-30,98
2016-01-31,17
2016-02-01,7
2016-02-02,22
2016-02-03,2
2016-02-04,3
2016-02-05,0
2016-02-06,3
2016-02-07,27
2016-02-08,2
2016-02-09,5
2016-02-10,2
2016-02-11,0
2016-02-12,0
2016-02-13,17
2016-02-14,2
2016-02-15,1
2016-02-16,0
2016-02-17,0
2016-02-18,0
2016-02-19,0
2016-02-20,0
2016-02-21,0
2016-02-22,1
2016-02-23,0
2016-02-24,0
2016-02-25,0
2016-02-26,0
2016-02-27,0
2016-02-28,0
2016-02-29,0
2016-03-01,0
2016-03-02,0
2016-03-03,0
2016-03-04,0
2016-03-05,0
