fecha,cantidad
2015-09-09,7
2015-09-10,2
2015-09-11,5
2015-09-12,1
2015-09-13,0
2015-09-14,1
2015-09-15,0
2015-09-16,0
2015-09-17,0
2015-09-18,0
2015-09-19,0
2015-09-20,0
2015-09-21,0
2015-09-22,1
2015-09-23,9
2015-09-24,11
2015-09-25,3
2015-09-26,2
2015-09-27,1
2015-09-28,15
2015-09-29,10
2015-09-30,25
2015-10-01,26
2015-10-02,22
2015-10-03,5
2015-10-04,4
2015-10-05,69
2015-10-06,17
2015-10-07,10
2015-10-08,2
2015-10-09,3
2015-10-10,8
2015-10-11,8
2015-10-12,28
2015-10-13,12
2015-10-14,21
2015-10-15,12
2015-10-16,7
2015-10-17,0
2015-10-18,1
2015-10-19,8
2015-10-20,17
2015-10-21,23
2015-10-22,17
2015-10-23,26
2015-10-24,31
2015-10-25,15
2015-10-26,29
2015-10-27,135
2015-10-28,47
2015-10-29,32
2015-10-30,45
2015-10-31,44
2015-11-01,21
2015-11-02,32
2015-11-03,23
2015-11-04,25
2015-11-05,31
2015-11-06,36
2015-11-07,13
2015-11-08,12
2015-11-09,5
2015-11-10,10
2015-11-11,23
2015-11-12,34
2015-11-13,15
2015-11-14,5
2015-11-15,2
2015-11-16,16
2015-11-17,33
2015-11-18,16
2015-11-19,2
2015-11-20,0
2015-11-21,0
2015-11-22,0
2015-11-23,21
2015-11-24,20
2015-11-25,15
2015-11-26,26
2015-11-27,89
2015-11-28,45
2015-11-29,11
2015-11-30,94
2015-12-01,37
2015-12-02,48
2015-12-03,43
2015-12-04,43
2015-12-05,66
2015-12-06,46
2015-12-07,59
2015-12-08,29
2015-12-09,58
2015-12-10,70
2015-12-11,220
2015-12-12,52
2015-12-13,16
2015-12-14,24
2015-12-15,60
2015-12-16,41
2015-12-17,32
2015-12-18,59
2015-12-19,17
2015-12-20,12
2015-12-21,67
2015-12-22,17
2015-12-23,27
2015-12-24,12
2015-12-25,9
2015-12-26,14
2015-12-27,15
2015-12-28,15
2015-12-29,30
2015-12-30,25
2015-12-31,9
2016-01-01,8
2016-01-02,9
2016-01-03,10
2016-01-04,12
2016-01-05,15
2016-01-06,20
2016-01-07,29
2016-01-08,53
2016-01-09,67
2016-01-10,40
2016-01-11,77
2016-01-12,48
2016-01-13,34
2016-01-14,64
2016-01-15,58
2016-01-16,29
2016-01-17,18
2016-01-18,32
2016-01-19,56
2016-01-20,64
2016-01-21,74
2016-01-22,75
2016-01-23,52
2016-01-24,20
2016-01-25,33
2016-01-26,52
2016-01-27,61
2016-01-28,95
2016-01-29,30
2016-01-30,31
2016-01-31,31
2016-02-01,57
2016-02-02,36
2016-02-03,32
2016-02-04,55
2016-02-05,71
2016-02-06,29
2016-02-07,18
2016-02-08,31
2016-02-09,75
2016-02-10,82
2016-02-11,159
2016-02-12,166
2016-02-13,62
2016-02-14,27
2016-02-15,106
2016-02-16,112
2016-02-17,133
2016-02-18,107
2016-02-19,95
2016-02-20,58
2016-02-21,56
2016-02-22,139
2016-02-23,0
2016-02-24,0
2016-02-25,0
2016-02-26,0
