fecha,cantidad
2015-09-09,285
2015-09-10,169
2015-09-11,340
2015-09-12,181
2015-09-13,203
2015-09-14,44
2015-09-15,0
2015-09-16,0
2015-09-17,0
2015-09-18,0
2015-09-19,0
2015-09-20,0
2015-09-21,0
2015-09-22,137
2015-09-23,207
2015-09-24,207
2015-09-25,157
2015-09-26,115
2015-09-27,59
2015-09-28,300
2015-09-29,384
2015-09-30,256
2015-10-01,406
2015-10-02,92
2015-10-03,75
2015-10-04,68
2015-10-05,400
2015-10-06,190
2015-10-07,363
2015-10-08,107
2015-10-09,102
2015-10-10,36
2015-10-11,58
2015-10-12,158
2015-10-13,160
2015-10-14,150
2015-10-15,90
2015-10-16,83
2015-10-17,3
2015-10-18,100
2015-10-19,147
2015-10-20,916
2015-10-21,473
2015-10-22,356
2015-10-23,146
2015-10-24,119
2015-10-25,78
2015-10-26,137
2015-10-27,348
2015-10-28,344
2015-10-29,464
2015-10-30,183
2015-10-31,150
2015-11-01,49
2015-11-02,96
2015-11-03,332
2015-11-04,151
2015-11-05,188
2015-11-06,194
2015-11-07,114
2015-11-08,74
2015-11-09,49
2015-11-10,250
2015-11-11,277
2015-11-12,250
2015-11-13,155
2015-11-14,58
2015-11-15,26
2015-11-16,225
2015-11-17,213
2015-11-18,121
2015-11-19,50
2015-11-20,0
2015-11-21,0
2015-11-22,5
2015-11-23,35
2015-11-24,70
2015-11-25,81
2015-11-26,147
2015-11-27,151
2015-11-28,52
2015-11-29,72
2015-11-30,194
2015-12-01,107
2015-12-02,254
2015-12-03,194
2015-12-04,147
2015-12-05,40
2015-12-06,38
2015-12-07,82
2015-12-08,83
2015-12-09,112
2015-12-10,73
2015-12-11,147
2015-12-12,54
2015-12-13,42
2015-12-14,175
2015-12-15,159
2015-12-16,148
2015-12-17,122
2015-12-18,70
2015-12-19,42
2015-12-20,35
2015-12-21,298
2015-12-22,318
2015-12-23,81
2015-12-24,25
2015-12-25,22
2015-12-26,91
2015-12-27,66
2015-12-28,174
2015-12-29,207
2015-12-30,212
2015-12-31,134
2016-01-01,196
2016-01-02,436
2016-01-03,330
2016-01-04,77
2016-01-05,69
2016-01-06,221
2016-01-07,113
2016-01-08,138
2016-01-09,185
2016-01-10,226
2016-01-11,244
2016-01-12,323
2016-01-13,506
2016-01-14,454
2016-01-15,249
2016-01-16,147
2016-01-17,361
2016-01-18,532
2016-01-19,367
2016-01-20,389
2016-01-21,496
2016-01-22,551
2016-01-23,1176
2016-01-24,755
2016-01-25,890
2016-01-26,703
2016-01-27,602
2016-01-28,456
2016-01-29,371
2016-01-30,273
2016-01-31,189
2016-02-01,402
2016-02-02,176
2016-02-03,857
2016-02-04,474
2016-02-05,663
2016-02-06,559
2016-02-07,483
2016-02-08,381
2016-02-09,687
2016-02-10,662
2016-02-11,480
2016-02-12,992
2016-02-13,331
2016-02-14,525
2016-02-15,1011
2016-02-16,524
2016-02-17,466
2016-02-18,492
2016-02-19,516
2016-02-20,411
2016-02-21,318
2016-02-22,430
2016-02-23,131
2016-02-24,0
2016-02-25,0
2016-02-26,0
