fecha,cantidad
2015-09-09,200
2015-09-10,172
2015-09-11,424
2015-09-12,133
2015-09-13,160
2015-09-14,108
2015-09-15,0
2015-09-16,0
2015-09-17,0
2015-09-18,0
2015-09-19,0
2015-09-20,0
2015-09-21,13
2015-09-22,91
2015-09-23,265
2015-09-24,165
2015-09-25,297
2015-09-26,151
2015-09-27,47
2015-09-28,375
2015-09-29,214
2015-09-30,623
2015-10-01,231
2015-10-02,296
2015-10-03,60
2015-10-04,114
2015-10-05,612
2015-10-06,525
2015-10-07,290
2015-10-08,275
2015-10-09,252
2015-10-10,157
2015-10-11,234
2015-10-12,269
2015-10-13,376
2015-10-14,185
2015-10-15,261
2015-10-16,133
2015-10-17,12
2015-10-18,92
2015-10-19,274
2015-10-20,166
2015-10-21,97
2015-10-22,95
2015-10-23,147
2015-10-24,199
2015-10-25,93
2015-10-26,136
2015-10-27,247
2015-10-28,428
2015-10-29,315
2015-10-30,202
2015-10-31,157
2015-11-01,135
2015-11-02,677
2015-11-03,452
2015-11-04,369
2015-11-05,186
2015-11-06,298
2015-11-07,432
2015-11-08,225
2015-11-09,428
2015-11-10,185
2015-11-11,150
2015-11-12,134
2015-11-13,263
2015-11-14,108
2015-11-15,227
2015-11-16,325
2015-11-17,268
2015-11-18,290
2015-11-19,63
2015-11-20,1
2015-11-21,2
2015-11-22,0
2015-11-23,12
2015-11-24,138
2015-11-25,117
2015-11-26,149
2015-11-27,181
2015-11-28,74
2015-11-29,79
2015-11-30,185
2015-12-01,154
2015-12-02,145
2015-12-03,68
2015-12-04,81
2015-12-05,35
2015-12-06,70
2015-12-07,73
2015-12-08,84
2015-12-09,116
2015-12-10,76
2015-12-11,159
2015-12-12,95
2015-12-13,45
2015-12-14,55
2015-12-15,165
2015-12-16,136
2015-12-17,144
2015-12-18,75
2015-12-19,18
2015-12-20,89
2015-12-21,84
2015-12-22,77
2015-12-23,72
2015-12-24,49
2015-12-25,16
2015-12-26,55
2015-12-27,127
2015-12-28,151
2015-12-29,175
2015-12-30,140
2015-12-31,391
2016-01-01,188
2016-01-02,178
2016-01-03,132
2016-01-04,229
2016-01-05,152
2016-01-06,119
2016-01-07,127
2016-01-08,272
2016-01-09,175
2016-01-10,223
2016-01-11,121
2016-01-12,357
2016-01-13,208
2016-01-14,200
2016-01-15,309
2016-01-16,118
2016-01-17,150
2016-01-18,444
2016-01-19,375
2016-01-20,301
2016-01-21,234
2016-01-22,346
2016-01-23,382
2016-01-24,167
2016-01-25,259
2016-01-26,135
2016-01-27,184
2016-01-28,207
2016-01-29,228
2016-01-30,104
2016-01-31,170
2016-02-01,249
2016-02-02,218
2016-02-03,207
2016-02-04,98
2016-02-05,229
2016-02-06,246
2016-02-07,232
2016-02-08,197
2016-02-09,284
2016-02-10,221
2016-02-11,167
2016-02-12,175
2016-02-13,215
2016-02-14,139
2016-02-15,170
2016-02-16,108
2016-02-17,127
2016-02-18,272
2016-02-19,172
2016-02-20,115
2016-02-21,187
2016-02-22,338
2016-02-23,102
2016-02-24,0
2016-02-25,0
2016-02-26,0
