fecha,cantidad
2015-09-09,32
2015-09-10,14
2015-09-11,16
2015-09-12,9
2015-09-13,23
2015-09-14,4
2015-09-15,0
2015-09-16,0
2015-09-17,0
2015-09-18,0
2015-09-19,0
2015-09-20,0
2015-09-21,0
2015-09-22,3
2015-09-23,1
2015-09-24,38
2015-09-25,34
2015-09-26,31
2015-09-27,14
2015-09-28,11
2015-09-29,28
2015-09-30,160
2015-10-01,592
2015-10-02,267
2015-10-03,167
2015-10-04,146
2015-10-05,884
2015-10-06,1071
2015-10-07,734
2015-10-08,488
2015-10-09,277
2015-10-10,226
2015-10-11,155
2015-10-12,283
2015-10-13,270
2015-10-14,172
2015-10-15,203
2015-10-16,99
2015-10-17,1
2015-10-18,80
2015-10-19,198
2015-10-20,198
2015-10-21,176
2015-10-22,258
2015-10-23,188
2015-10-24,192
2015-10-25,110
2015-10-26,119
2015-10-27,192
2015-10-28,213
2015-10-29,182
2015-10-30,177
2015-10-31,150
2015-11-01,138
2015-11-02,144
2015-11-03,154
2015-11-04,216
2015-11-05,184
2015-11-06,205
2015-11-07,242
2015-11-08,214
2015-11-09,178
2015-11-10,263
2015-11-11,165
2015-11-12,176
2015-11-13,149
2015-11-14,114
2015-11-15,64
2015-11-16,176
2015-11-17,149
2015-11-18,260
2015-11-19,33
2015-11-20,0
2015-11-21,0
2015-11-22,0
2015-11-23,1
2015-11-24,227
2015-11-25,182
2015-11-26,145
2015-11-27,189
2015-11-28,101
2015-11-29,113
2015-11-30,180
2015-12-01,177
2015-12-02,175
2015-12-03,145
2015-12-04,193
2015-12-05,59
2015-12-06,58
2015-12-07,130
2015-12-08,199
2015-12-09,148
2015-12-10,98
2015-12-11,189
2015-12-12,76
2015-12-13,87
2015-12-14,179
2015-12-15,139
2015-12-16,115
2015-12-17,158
2015-12-18,114
2015-12-19,128
2015-12-20,141
2015-12-21,125
2015-12-22,175
2015-12-23,160
2015-12-24,121
2015-12-25,119
2015-12-26,129
2015-12-27,183
2015-12-28,203
2015-12-29,149
2015-12-30,150
2015-12-31,148
2016-01-01,172
2016-01-02,212
2016-01-03,313
2016-01-04,209
2016-01-05,214
2016-01-06,282
2016-01-07,231
2016-01-08,152
2016-01-09,159
2016-01-10,193
2016-01-11,201
2016-01-12,215
2016-01-13,223
2016-01-14,178
2016-01-15,142
2016-01-16,190
2016-01-17,198
2016-01-18,245
2016-01-19,209
2016-01-20,177
2016-01-21,208
2016-01-22,243
2016-01-23,325
2016-01-24,203
2016-01-25,257
2016-01-26,62
2016-01-27,131
2016-01-28,169
2016-01-29,126
2016-01-30,316
2016-01-31,250
2016-02-01,233
2016-02-02,122
2016-02-03,199
2016-02-04,152
2016-02-05,195
2016-02-06,15
2016-02-07,128
2016-02-08,27
2016-02-09,198
2016-02-10,128
2016-02-11,177
2016-02-12,98
2016-02-13,93
2016-02-14,173
2016-02-15,120
2016-02-16,197
2016-02-17,109
2016-02-18,91
2016-02-19,159
2016-02-20,30
2016-02-21,30
2016-02-22,204
2016-02-23,13
2016-02-24,0
2016-02-25,0
2016-02-26,0
