fecha,cantidad
2015-09-09,3
2015-09-10,2
2015-09-11,25
2015-09-12,1
2015-09-13,2
2015-09-14,1
2015-09-15,0
2015-09-16,0
2015-09-17,0
2015-09-18,0
2015-09-19,0
2015-09-20,0
2015-09-21,0
2015-09-22,103
2015-09-23,11
2015-09-24,8
2015-09-25,20
2015-09-26,0
2015-09-27,2
2015-09-28,4
2015-09-29,3
2015-09-30,3
2015-10-01,18
2015-10-02,10
2015-10-03,1
2015-10-04,1
2015-10-05,14
2015-10-06,7
2015-10-07,25
2015-10-08,4
2015-10-09,3
2015-10-10,1
2015-10-11,3
2015-10-12,3
2015-10-13,1
2015-10-14,6
2015-10-15,3
2015-10-16,5
2015-10-17,2
2015-10-18,1
2015-10-19,7
2015-10-20,3
2015-10-21,1
2015-10-22,0
2015-10-23,3
2015-10-24,0
2015-10-25,1
2015-10-26,1
2015-10-27,10
2015-10-28,8
2015-10-29,4
2015-10-30,38
2015-10-31,9
2015-11-01,4
2015-11-02,0
2015-11-03,6
2015-11-04,3
2015-11-05,5
2015-11-06,16
2015-11-07,12
2015-11-08,7
2015-11-09,31
2015-11-10,6
2015-11-11,6
2015-11-12,4
2015-11-13,6
2015-11-14,1
2015-11-15,4
2015-11-16,5
2015-11-17,9
2015-11-18,6
2015-11-19,0
2015-11-20,0
2015-11-21,0
2015-11-22,0
2015-11-23,0
2015-11-24,3
2015-11-25,12
2015-11-26,0
2015-11-27,8
2015-11-28,2
2015-11-29,10
2015-11-30,3
2015-12-01,3
2015-12-02,6
2015-12-03,6
2015-12-04,5
2015-12-05,0
2015-12-06,4
2015-12-07,4
2015-12-08,4
2015-12-09,1
2015-12-10,1
2015-12-11,4
2015-12-12,0
2015-12-13,1
2015-12-14,2
2015-12-15,1
2015-12-16,2
2015-12-17,1
2015-12-18,0
2015-12-19,0
2015-12-20,0
2015-12-21,5
2015-12-22,2
2015-12-23,2
2015-12-24,0
2015-12-25,1
2015-12-26,0
2015-12-27,5
2015-12-28,1
2015-12-29,6
2015-12-30,3
2015-12-31,2
2016-01-01,4
2016-01-02,0
2016-01-03,3
2016-01-04,3
2016-01-05,21
2016-01-06,25
2016-01-07,6
2016-01-08,10
2016-01-09,0
2016-01-10,1
2016-01-11,4
2016-01-12,12
2016-01-13,2
2016-01-14,11
2016-01-15,5
2016-01-16,16
2016-01-17,2
2016-01-18,1
2016-01-19,6
2016-01-20,22
2016-01-21,12
2016-01-22,43
2016-01-23,23
2016-01-24,3
2016-01-25,4
2016-01-26,0
2016-01-27,6
2016-01-28,1
2016-01-29,16
2016-01-30,1
2016-01-31,11
2016-02-01,4
2016-02-02,7
2016-02-03,5
2016-02-04,11
2016-02-05,3
2016-02-06,7
2016-02-07,6
2016-02-08,9
2016-02-09,3
2016-02-10,48
2016-02-11,22
2016-02-12,4
2016-02-13,5
2016-02-14,2
2016-02-15,1
2016-02-16,4
2016-02-17,2
2016-02-18,3
2016-02-19,2
2016-02-20,1
2016-02-21,6
2016-02-22,1
2016-02-23,1
2016-02-24,0
2016-02-25,0
2016-02-26,0
