fecha,cantidad
2015-09-09,21
2015-09-10,17
2015-09-11,13
2015-09-12,2
2015-09-13,13
2015-09-14,3
2015-09-15,0
2015-09-16,0
2015-09-17,0
2015-09-18,0
2015-09-19,0
2015-09-20,0
2015-09-21,0
2015-09-22,5
2015-09-23,23
2015-09-24,10
2015-09-25,14
2015-09-26,15
2015-09-27,0
2015-09-28,6
2015-09-29,16
2015-09-30,11
2015-10-01,45
2015-10-02,11
2015-10-03,13
2015-10-04,5
2015-10-05,61
2015-10-06,25
2015-10-07,20
2015-10-08,42
2015-10-09,17
2015-10-10,7
2015-10-11,23
2015-10-12,50
2015-10-13,58
2015-10-14,32
2015-10-15,36
2015-10-16,42
2015-10-17,0
2015-10-18,2
2015-10-19,19
2015-10-20,19
2015-10-21,11
2015-10-22,32
2015-10-23,11
2015-10-24,7
2015-10-25,12
2015-10-26,29
2015-10-27,27
2015-10-28,20
2015-10-29,21
2015-10-30,27
2015-10-31,14
2015-11-01,11
2015-11-02,21
2015-11-03,44
2015-11-04,26
2015-11-05,38
2015-11-06,16
2015-11-07,61
2015-11-08,14
2015-11-09,28
2015-11-10,45
2015-11-11,26
2015-11-12,8
2015-11-13,25
2015-11-14,12
2015-11-15,4
2015-11-16,16
2015-11-17,20
2015-11-18,26
2015-11-19,4
2015-11-20,0
2015-11-21,0
2015-11-22,0
2015-11-23,1
2015-11-24,8
2015-11-25,7
2015-11-26,28
2015-11-27,37
2015-11-28,6
2015-11-29,4
2015-11-30,3
2015-12-01,16
2015-12-02,19
2015-12-03,2
2015-12-04,10
2015-12-05,4
2015-12-06,2
2015-12-07,13
2015-12-08,4
2015-12-09,20
2015-12-10,5
2015-12-11,32
2015-12-12,14
2015-12-13,0
2015-12-14,11
2015-12-15,12
2015-12-16,14
2015-12-17,10
2015-12-18,14
2015-12-19,12
2015-12-20,1
2015-12-21,13
2015-12-22,8
2015-12-23,4
2015-12-24,5
2015-12-25,2
2015-12-26,3
2015-12-27,3
2015-12-28,14
2015-12-29,151
2015-12-30,22
2015-12-31,3
2016-01-01,2
2016-01-02,1
2016-01-03,8
2016-01-04,10
2016-01-05,23
2016-01-06,7
2016-01-07,10
2016-01-08,27
2016-01-09,13
2016-01-10,3
2016-01-11,18
2016-01-12,32
2016-01-13,28
2016-01-14,32
2016-01-15,27
2016-01-16,16
2016-01-17,3
2016-01-18,34
2016-01-19,36
2016-01-20,19
2016-01-21,26
2016-01-22,105
2016-01-23,91
2016-01-24,72
2016-01-25,44
2016-01-26,32
2016-01-27,7
2016-01-28,92
2016-01-29,101
2016-01-30,76
2016-01-31,56
2016-02-01,57
2016-02-02,69
2016-02-03,40
2016-02-04,28
2016-02-05,10
2016-02-06,12
2016-02-07,13
2016-02-08,26
2016-02-09,87
2016-02-10,31
2016-02-11,11
2016-02-12,35
2016-02-13,46
2016-02-14,11
2016-02-15,56
2016-02-16,77
2016-02-17,22
2016-02-18,48
2016-02-19,38
2016-02-20,32
2016-02-21,14
2016-02-22,13
2016-02-23,1
2016-02-24,0
2016-02-25,0
2016-02-26,0
