fecha,cantidad
2015-09-09,0
2015-09-10,0
2015-09-11,0
2015-09-12,3
2015-09-13,0
2015-09-14,2
2015-09-15,0
2015-09-16,0
2015-09-17,0
2015-09-18,0
2015-09-19,0
2015-09-20,0
2015-09-21,0
2015-09-22,3
2015-09-23,2
2015-09-24,7
2015-09-25,1
2015-09-26,4
2015-09-27,7
2015-09-28,1
2015-09-29,0
2015-09-30,23
2015-10-01,84
2015-10-02,38
2015-10-03,30
2015-10-04,17
2015-10-05,45
2015-10-06,136
2015-10-07,67
2015-10-08,11
2015-10-09,243
2015-10-10,6
2015-10-11,21
2015-10-12,11
2015-10-13,11
2015-10-14,23
2015-10-15,37
2015-10-16,61
2015-10-17,0
2015-10-18,25
2015-10-19,18
2015-10-20,39
2015-10-21,21
2015-10-22,17
2015-10-23,41
2015-10-24,46
2015-10-25,30
2015-10-26,16
2015-10-27,44
2015-10-28,55
2015-10-29,31
2015-10-30,76
2015-10-31,14
2015-11-01,36
2015-11-02,81
2015-11-03,64
2015-11-04,19
2015-11-05,26
2015-11-06,13
2015-11-07,13
2015-11-08,41
2015-11-09,83
2015-11-10,55
2015-11-11,23
2015-11-12,62
2015-11-13,34
2015-11-14,16
2015-11-15,27
2015-11-16,17
2015-11-17,21
2015-11-18,64
2015-11-19,19
2015-11-20,0
2015-11-21,0
2015-11-22,0
2015-11-23,0
2015-11-24,19
2015-11-25,13
2015-11-26,18
2015-11-27,26
2015-11-28,144
2015-11-29,164
2015-11-30,218
2015-12-01,201
2015-12-02,192
2015-12-03,190
2015-12-04,235
2015-12-05,183
2015-12-06,175
2015-12-07,272
2015-12-08,191
2015-12-09,209
2015-12-10,203
2015-12-11,202
2015-12-12,241
2015-12-13,195
2015-12-14,172
2015-12-15,193
2015-12-16,195
2015-12-17,185
2015-12-18,197
2015-12-19,189
2015-12-20,177
2015-12-21,210
2015-12-22,234
2015-12-23,186
2015-12-24,215
2015-12-25,645
2015-12-26,2569
2015-12-27,2029
2015-12-28,1925
2015-12-29,1929
2015-12-30,1728
2015-12-31,1327
2016-01-01,1003
2016-01-02,1052
2016-01-03,1317
2016-01-04,1438
2016-01-05,1324
2016-01-06,1057
2016-01-07,903
2016-01-08,1370
2016-01-09,914
2016-01-10,1150
2016-01-11,740
2016-01-12,384
2016-01-13,325
2016-01-14,319
2016-01-15,221
2016-01-16,212
2016-01-17,194
2016-01-18,208
2016-01-19,209
2016-01-20,275
2016-01-21,208
2016-01-22,221
2016-01-23,194
2016-01-24,195
2016-01-25,204
2016-01-26,268
2016-01-27,232
2016-01-28,194
2016-01-29,197
2016-01-30,216
2016-01-31,196
2016-02-01,198
2016-02-02,187
2016-02-03,143
2016-02-04,166
2016-02-05,208
2016-02-06,181
2016-02-07,233
2016-02-08,198
2016-02-09,209
2016-02-10,209
2016-02-11,199
2016-02-12,240
2016-02-13,210
2016-02-14,209
2016-02-15,185
2016-02-16,726
2016-02-17,312
2016-02-18,208
2016-02-19,228
2016-02-20,174
2016-02-21,192
2016-02-22,207
2016-02-23,6
2016-02-24,0
2016-02-25,0
2016-02-26,0
