fecha,cantidad
2015-09-09,22
2015-09-10,6
2015-09-11,10
2015-09-12,49
2015-09-13,89
2015-09-14,81
2015-09-15,0
2015-09-16,0
2015-09-17,61
2015-09-18,12
2015-09-19,6
2015-09-20,2
2015-09-21,9
2015-09-22,9
2015-09-23,13
2015-09-24,22
2015-09-25,10
2015-09-26,8
2015-09-27,11
2015-09-28,35
2015-09-29,43
2015-09-30,57
2015-10-01,43
2015-10-02,11
2015-10-03,4
2015-10-04,4
2015-10-05,3
2015-10-06,12
2015-10-07,11
2015-10-08,9
2015-10-09,103
2015-10-10,131
2015-10-11,145
2015-10-12,350
2015-10-13,275
2015-10-14,382
2015-10-15,102
2015-10-16,22
2015-10-17,13
2015-10-18,73
2015-10-19,124
2015-10-20,21
2015-10-21,22
2015-10-22,9
2015-10-23,32
2015-10-24,18
2015-10-25,4
2015-10-26,9
2015-10-27,4
2015-10-28,20
2015-10-29,3
2015-10-30,6
2015-10-31,1
2015-11-01,1
2015-11-02,23
2015-11-03,10
2015-11-04,30
2015-11-05,11
2015-11-06,20
2015-11-07,29
2015-11-08,395
2015-11-09,25
2015-11-10,29
2015-11-11,35
2015-11-12,14
2015-11-13,16
2015-11-14,10
2015-11-15,2
2015-11-16,15
2015-11-17,7
2015-11-18,3
2015-11-19,8
2015-11-20,6
2015-11-21,4
2015-11-22,10
2015-11-23,4
2015-11-24,3
2015-11-25,2
2015-11-26,25
2015-11-27,8
2015-11-28,3
2015-11-29,13
2015-11-30,6
2015-12-01,7
2015-12-02,2
2015-12-03,2
2015-12-04,7
2015-12-05,1
2015-12-06,0
2015-12-07,7
2015-12-08,4
2015-12-09,2
2015-12-10,7
2015-12-11,4
2015-12-12,3
2015-12-13,2
2015-12-14,2
2015-12-15,29
2015-12-16,13
2015-12-17,13
2015-12-18,13
2015-12-19,5
2015-12-20,0
2015-12-21,6
2015-12-22,5
2015-12-23,3
2015-12-24,8
2015-12-25,1
2015-12-26,0
2015-12-27,2
2015-12-28,5
2015-12-29,2
2015-12-30,10
2015-12-31,18
2016-01-01,10
2016-01-02,6
2016-01-03,1
2016-01-04,13
2016-01-05,20
2016-01-06,20
2016-01-07,10
2016-01-08,4
2016-01-09,0
2016-01-10,1
2016-01-11,5
2016-01-12,5
2016-01-13,2
2016-01-14,1
2016-01-15,6
2016-01-16,21
2016-01-17,17
2016-01-18,2
2016-01-19,0
2016-01-20,2
2016-01-21,5
2016-01-22,7
2016-01-23,11
2016-01-24,5
2016-01-25,22
2016-01-26,7
2016-01-27,3
2016-01-28,2
2016-01-29,39
2016-01-30,0
2016-01-31,2
2016-02-01,74
2016-02-02,15
2016-02-03,79
2016-02-04,9
2016-02-05,2
2016-02-06,1
2016-02-07,1
2016-02-08,1
2016-02-09,60
2016-02-10,1
2016-02-11,0
2016-02-12,1
2016-02-13,0
2016-02-14,1
2016-02-15,7
2016-02-16,1
2016-02-17,0
2016-02-18,1
2016-02-19,3
2016-02-20,0
2016-02-21,0
2016-02-22,0
2016-02-23,0
2016-02-24,0
2016-02-25,0
2016-02-26,0
