fecha,cantidad
2015-09-09,39
2015-09-10,42
2015-09-11,21
2015-09-12,35
2015-09-13,51
2015-09-14,44
2015-09-15,0
2015-09-16,0
2015-09-17,0
2015-09-18,0
2015-09-19,0
2015-09-20,0
2015-09-21,0
2015-09-22,8
2015-09-23,12
2015-09-24,4
2015-09-25,22
2015-09-26,23
2015-09-27,3
2015-09-28,55
2015-09-29,13
2015-09-30,516
2015-10-01,2275
2015-10-02,2105
2015-10-03,2503
2015-10-04,2203
2015-10-05,3454
2015-10-06,2894
2015-10-07,2231
2015-10-08,3049
2015-10-09,1864
2015-10-10,1639
2015-10-11,1228
2015-10-12,1401
2015-10-13,1733
2015-10-14,1681
2015-10-15,1336
2015-10-16,1285
2015-10-17,0
2015-10-18,1134
2015-10-19,2006
2015-10-20,1727
2015-10-21,1577
2015-10-22,1447
2015-10-23,1115
2015-10-24,1341
2015-10-25,1579
2015-10-26,1494
2015-10-27,1300
2015-10-28,1038
2015-10-29,1610
2015-10-30,1042
2015-10-31,829
2015-11-01,1375
2015-11-02,1834
2015-11-03,1342
2015-11-04,1595
2015-11-05,1530
2015-11-06,1117
2015-11-07,1068
2015-11-08,1556
2015-11-09,1411
2015-11-10,1225
2015-11-11,973
2015-11-12,1500
2015-11-13,1235
2015-11-14,878
2015-11-15,738
2015-11-16,1317
2015-11-17,1342
2015-11-18,1144
2015-11-19,163
2015-11-20,0
2015-11-21,0
2015-11-22,0
2015-11-23,0
2015-11-24,924
2015-11-25,1154
2015-11-26,741
2015-11-27,396
2015-11-28,295
2015-11-29,367
2015-11-30,218
2015-12-01,203
2015-12-02,192
2015-12-03,186
2015-12-04,222
2015-12-05,209
2015-12-06,166
2015-12-07,203
2015-12-08,200
2015-12-09,195
2015-12-10,194
2015-12-11,208
2015-12-12,194
2015-12-13,202
2015-12-14,227
2015-12-15,243
2015-12-16,247
2015-12-17,272
2015-12-18,214
2015-12-19,246
2015-12-20,195
2015-12-21,217
2015-12-22,223
2015-12-23,195
2015-12-24,204
2015-12-25,216
2015-12-26,219
2015-12-27,284
2015-12-28,283
2015-12-29,1121
2015-12-30,1877
2015-12-31,1300
2016-01-01,971
2016-01-02,1256
2016-01-03,1287
2016-01-04,1801
2016-01-05,1592
2016-01-06,1717
2016-01-07,1882
2016-01-08,1746
2016-01-09,1495
2016-01-10,2030
2016-01-11,1780
2016-01-12,1927
2016-01-13,1893
2016-01-14,2025
2016-01-15,2088
2016-01-16,1887
2016-01-17,1759
2016-01-18,2362
2016-01-19,1963
2016-01-20,2216
2016-01-21,2165
2016-01-22,2151
2016-01-23,2268
2016-01-24,2068
2016-01-25,2003
2016-01-26,1993
2016-01-27,1933
2016-01-28,2016
2016-01-29,2049
2016-01-30,2437
2016-01-31,2138
2016-02-01,2079
2016-02-02,1967
2016-02-03,2067
2016-02-04,1068
2016-02-05,1786
2016-02-06,1883
2016-02-07,1922
2016-02-08,2572
2016-02-09,2293
2016-02-10,2116
2016-02-11,1965
2016-02-12,1911
2016-02-13,2022
2016-02-14,4146
2016-02-15,3082
2016-02-16,2295
2016-02-17,3228
2016-02-18,2070
2016-02-19,2499
2016-02-20,2992
2016-02-21,2911
2016-02-22,3187
2016-02-23,1241
2016-02-24,0
2016-02-25,0
2016-02-26,0
